parameter,mean,sd,Q16,Q50,Q84
Pn,377.4607616058094,8.595060489584311,371.4508248220407,376.8218198741158,382.7915955714811
A1,23476.255392613442,19279.710277056296,390.90021052180623,31930.223650607888,42877.575707349344
b1,6.742344165274825,8.13908170609845,2.1156073229053827,2.7137124669532597,12.970410766404065
A2,29761.645723159596,9779.67190671782,16858.734540594138,32180.571391842015,37395.56241903099
b2,18.285843714247633,8.091462913644111,14.221132344256826,15.151299961655196,21.00852098955687
A3,6449.435755658641,1972.7358600543662,3951.3703265245404,7405.471738890495,7996.59792834277
b3,56.749260731106446,5.081792162043304,53.076504850221696,54.32119270026601,63.26461851062528
Pg,7057.561080627506,539.3192100625074,6870.350178199986,7286.364761905548,7321.698136418532
numax,59.6079625246952,0.9107531911920189,58.62434817651125,59.843599891638846,60.26714278641907
sigmaEnv,9.168197725947866,0.8164114160526066,8.604685916017797,8.954264351438662,10.159256640851972
lnprob,-248201.42999139836,634.348551692873,-248580.56619231869,-247909.15766842145,-247904.88464312392
