parameter,mean,sd,Q16,Q50,Q84
Pn,13.246446776636281,0.13017444441684742,13.117827118973805,13.247093204390138,13.372980925136574
A1,10492.721862828548,3987.0365767687686,7171.359137051406,9782.243703899061,13506.958549990984
b1,2.8229610216254386,2.419411139025128,0.9564640869010214,1.8850957978716028,5.236940075741323
A2,13271.44780567026,2828.0528612798007,11430.148402855199,14189.76516506058,15267.714391568556
b2,12.88028510197102,2.5577164269587,11.327790401537346,12.07841265403105,14.014824790622352
A3,2988.7798390966095,597.1425405128163,2367.490111028365,3112.867883287026,3545.7059071734247
b3,40.026139146739055,2.1880276843808004,38.16195518403309,39.40872740552946,42.0342555843734
Pg,5174.790336758987,194.95520684372838,4983.371337415307,5170.579615883344,5362.5250956084155
numax,39.78633385858562,0.28724631845532383,39.49503008227068,39.78771993008941,40.078884033690144
sigmaEnv,6.875282805995103,0.2136615496459695,6.663323989222208,6.873903096068553,7.0880765082921835
lnprob,-198833.23883041093,3.106436496267355,-198836.18947842717,-198832.62840736166,-198830.34623932926
