time,time_raw,flux
54953.5388363,54953.5388363,-450.42281448284257
54953.5592709,54953.5592709,-206.60721455436618
54953.5797054,54953.5797054,-366.2131316045869
54953.6001401,54953.6001401,-404.90633864567184
54953.6205747,54953.6205747,-569.6246625909395
54953.6410092,54953.6410092,-654.9175734099854
54953.6614438,54953.6614438,-741.7172599627706
54953.6818785,54953.6818785,-580.3730271025875
54953.7023129,54953.7023129,-576.200385056369
54953.7227475,54953.7227475,-459.8737557059084
54953.7431822,54953.7431822,-266.93310329686244
54953.7636167,54953.7636167,-244.02937872693983
54953.7840513,54953.7840513,-133.31305730659432
54953.8044859,54953.8044859,-58.67561968666552
54953.8249205,54953.8249205,7.753629716589266
54953.845355,54953.845355,40.31923524903119
54953.8657896,54953.8657896,-6.839355130150388
54953.8862243,54953.8862243,-104.61509904127193
54953.9066588,54953.9066588,-154.59724315138862
54953.9270934,54953.9270934,-146.20667409372953
54953.9475281,54953.9475281,-183.71928296914137
54953.9679626,54953.9679626,-335.56292290828344
54953.9883971,54953.9883971,-499.9173333056994
54954.0088316,54954.0088316,-611.4877918636184
54954.0292663,54954.0292663,-853.7436348836856
54954.0497009,54954.0497009,-954.3648196639554
54954.0701355,54954.0701355,-1006.2754583715305
54954.0905701,54954.0905701,-1085.965390809207
54954.1110047,54954.1110047,-1166.9665589363553
54954.1314392,54954.1314392,-1277.104885990554
54954.1518737,54954.1518737,-1220.9554699078806
54954.1723084,54954.1723084,-1330.6514888445029
54954.192743,54954.192743,-1392.4871581705522
54954.2131775,54954.2131775,-1345.6331872305993
54954.2336122,54954.2336122,-1416.6423060422374
54954.2540468,54954.2540468,-1452.9576128683664
54954.2744812,54954.2744812,-1252.6826406072053
54954.2949158,54954.2949158,-1070.4008633553253
54954.3153505,54954.3153505,-686.247407609497
54954.3357851,54954.3357851,-337.70273086832776
54954.3562196,54954.3562196,-25.911043198179
54954.3766543,54954.3766543,332.83675191473355
54954.3970889,54954.3970889,602.2939396624683
54954.4175234,54954.4175234,945.8330633024036
54954.4379579,54954.4379579,1053.3857345934373
54954.4583926,54954.4583926,1105.4360470606816
54954.4788271,54954.4788271,1041.1393877712615
54954.4992617,54954.4992617,1071.3583424613926
54954.5196963,54954.5196963,876.0639978349867
54954.540131,54954.540131,853.0533000243536
54954.5605656,54954.5605656,661.1613484363654
54954.581,54954.581,487.4202426148809
54954.6014347,54954.6014347,257.16086831148965
54954.6218693,54954.6218693,74.06651413644423
54954.6423038,54954.6423038,-198.44019457422553
54954.6627384,54954.6627384,-180.034986087867
54954.6831731,54954.6831731,-249.53148865239888
54954.7036076,54954.7036076,-181.37945454456204
54954.7240421,54954.7240421,-65.93490141498232
54954.7444768,54954.7444768,98.83059120838723
54954.7649113,54954.7649113,224.83364787569928
54954.7853459,54954.7853459,435.7735151528922
54954.8057805,54954.8057805,588.8488300544593
54954.8262151,54954.8262151,815.3689438732301
54954.8466497,54954.8466497,957.0957732353908
54954.8670842,54954.8670842,1104.7371349538698
54954.8875188,54954.8875188,1245.2420571716275
54954.9079534,54954.9079534,1275.0240866100323
54954.928388,54954.928388,1330.9013548750024
54954.9488225,54954.9488225,1325.783995101308
54954.9692572,54954.9692572,1431.7885729183404
54954.9896918,54954.9896918,1371.625621347633
54955.0101262,54955.0101262,1352.3426780975328
54955.0305609,54955.0305609,1279.8695268271
54955.0509955,54955.0509955,1305.1621447710984
54955.0714301,54955.0714301,1204.4963823763162
54955.0918646,54955.0918646,1278.982934467684
54955.1122993,54955.1122993,1348.158711000605
54955.1327339,54955.1327339,1258.4913598221292
54955.1531684,54955.1531684,1296.4889475743491
54955.173603,54955.173603,1182.271417743231
54955.1940376,54955.1940376,1262.504088257955
54955.2144721,54955.2144721,1255.6398385430978
54955.2349067,54955.2349067,1237.8547299693432
54955.2553414,54955.2553414,1227.155437223666
54955.2757759,54955.2757759,1127.4788389549253
54955.2962105,54955.2962105,1059.7388399969898
54955.3166451,54955.3166451,963.1407349193943
54955.3370796,54955.3370796,812.519650207947
54955.3575142,54955.3575142,751.3957656261766
54955.3779488,54955.3779488,607.1299308155882
54955.3983835,54955.3983835,551.033951989475
54955.418818,54955.418818,398.6198808908282
54955.4392526,54955.4392526,270.4289791240908
54955.4596872,54955.4596872,309.4979814254486
54955.4801217,54955.4801217,431.6199057323379
54955.5005563,54955.5005563,502.6572371149644
54955.5209908,54955.5209908,584.9966607606905
54955.5414255,54955.5414255,839.6776786939798
54955.5618601,54955.5618601,976.7155380065617
54955.5822947,54955.5822947,1041.8378147719714
54955.6027292,54955.6027292,988.4596385609649
54955.6231638,54955.6231638,929.0807853161787
54955.6435984,54955.6435984,835.4607805724911
54955.6640329,54955.6640329,740.4080052622131
54955.6844676,54955.6844676,559.3832063922196
54955.7049022,54955.7049022,534.4294956163377
54955.7253367,54955.7253367,371.26574879290894
54955.7457713,54955.7457713,244.45203354304704
54955.7662059,54955.7662059,15.905338027046225
54955.7866404,54955.7866404,-73.03139915950705
54955.807075,54955.807075,-50.096117272067985
54955.8275097,54955.8275097,70.34231994299064
54955.8479443,54955.8479443,96.93122556978622
54955.8683789,54955.8683789,48.15020165088243
54955.8888134,54955.8888134,35.26520309932427
54955.909248,54955.909248,-26.30861121808328
54955.9296826,54955.9296826,140.22849759406282
54955.9501171,54955.9501171,237.9379247333202
54955.9705518,54955.9705518,486.667367708209
54955.9909864,54955.9909864,568.0756084153048
54956.0114209,54956.0114209,689.2377500991598
54956.0318555,54956.0318555,932.6655717837191
54956.0522901,54956.0522901,1216.368257696242
54956.0727247,54956.0727247,1228.3812944746878
54956.0931592,54956.0931592,1237.5820643766276
54956.1135939,54956.1135939,1173.792623334926
54956.1340285,54956.1340285,1159.2305286534238
54956.154463,54956.154463,1178.9304903001598
54956.1748976,54956.1748976,1033.7293539680607
54956.1953322,54956.1953322,789.8687457976139
54956.2157667,54956.2157667,590.0080952254184
54956.2362013,54956.2362013,436.1451629019123
54956.256636,54956.256636,174.57095405248398
54956.2770705,54956.2770705,73.41838041691945
54956.2975038,54956.2975038,-6.432980106017272
54956.3179397,54956.3179397,-86.28621410213914
54956.3383742,54956.3383742,-206.68198259197814
54956.3588088,54956.3588088,-170.6906615969479
54956.3792434,54956.3792434,-207.36754000323512
54956.3996781,54956.3996781,-48.22183019575999
54956.4201126,54956.4201126,68.04693412804984
